timestamp_utc,origin,destination,departure_date,return_date,price,currency,source,connection_path,total_price
2026-06-21T14:32:31.160896,BUD,CAG,2026-08-12,,76.53,EUR,ryanair,,76.53
2026-06-21T14:32:31.222928,BUD,PMI,2026-08-15,,107.33,EUR,ryanair,,107.33
2026-06-21T14:32:31.288024,STN,BGY,2026-08-20,,34.53,EUR,ryanair,,34.53
2026-06-21T14:32:31.352505,BUD,CFU,2026-08-10,,48.99,EUR,ryanair,,48.99
2026-06-22T10:00:00,BUD,CAG,2026-08-12,,52.00,EUR,ryanair,,52.00
2026-06-22T06:41:53.819448,BUD,CAG,2026-08-07,,24.69,EUR,ryanair,,24.69
2026-06-22T06:41:53.819657,BUD,ZTH,2026-08-27,,26.59,EUR,ryanair,,26.59
2026-06-22T06:41:53.820027,BUD,CFU,2026-08-24,,26.99,EUR,ryanair,,26.99
2026-06-22T07:00:15.608165,BUD,CAG,2026-08-12,,76.53,EUR,ryanair,,76.53
2026-06-22T07:00:15.674859,BUD,PMI,2026-08-15,,107.33,EUR,ryanair,,107.33
2026-06-22T07:00:15.749506,STN,BGY,2026-08-20,,38.99,EUR,ryanair,,38.99
2026-06-22T07:00:15.815539,BUD,CFU,2026-08-10,,48.99,EUR,ryanair,,48.99
2026-06-22T08:30:58.397640,BUD,CAG,2026-08-14,,29.79,EUR,ryanair,,29.79
2026-06-22T08:30:58.397871,BUD,CTA,2026-08-13,,31.03,EUR,ryanair,,31.03
2026-06-22T08:30:58.398024,BUD,MLA,2026-08-11,,35.99,EUR,ryanair,,35.99
2026-06-22T08:30:58.398136,BUD,CFU,2026-08-10,,46.99,EUR,ryanair,,46.99
2026-06-22T08:30:58.398262,BUD,AHO,2026-08-11,,47.99,EUR,ryanair,,47.99
2026-06-22T08:30:58.398370,BUD,RHO,2026-08-13,,50.63,EUR,ryanair,,50.63
2026-06-22T08:30:58.398476,BUD,PVK,2026-08-11,,58.75,EUR,ryanair,,58.75
2026-06-22T08:30:58.398579,BUD,PMI,2026-08-10,,61.0,EUR,self-transfer:Milan,"[{'type': 'flight', 'origin': 'BUD', 'destination': 'BGY', 'price': 29.0, 'duration_minutes': 105, 'source': 'ryanair', 'departure_date': None}, {'type': 'ground', 'from_iata': 'BGY', 'to_iata': 'MXP', 'mode': 'driving', 'duration_minutes': 79, 'distance_km': 92.1, 'estimated_cost_eur': 11.1, 'notes': 'Via OSRM (OpenStreetMap)', 'options': []}, {'type': 'flight', 'origin': 'MXP', 'destination': 'PMI', 'price': 32.0, 'duration_minutes': 135, 'source': 'ryanair', 'departure_date': None}]",61.0
2026-06-22T08:30:58.398717,BUD,PMI,2026-08-12,,64.74,EUR,ryanair,,64.74
2026-06-22T08:30:58.398837,BUD,PMO,2026-08-12,,69.69,EUR,ryanair,,69.69
2026-06-22T08:30:58.398943,BUD,ZTH,2026-08-10,,69.99,EUR,ryanair,,69.99
2026-06-22T08:30:58.399046,BUD,JMK,2026-08-10,,78.99,EUR,ryanair,,78.99
2026-06-22T08:30:58.399168,BUD,CHQ,2026-08-14,,97.99,EUR,ryanair,,97.99
2026-06-22T08:30:58.399269,BUD,LPA,2026-08-14,,123.87,EUR,ryanair,,123.87
2026-06-22T08:30:58.399372,BUD,TFS,2026-08-11,,136.87,EUR,ryanair,,136.87
2026-06-22T08:31:05.753516,BUD,ZAD,2026-08-16,,23.75,EUR,ryanair,,23.75
2026-06-22T08:31:05.753730,BUD,BRI,2026-08-13,,29.07,EUR,ryanair,,29.07
2026-06-22T08:31:05.754320,BUD,CAG,2026-08-14,,29.79,EUR,ryanair,,29.79
2026-06-22T08:31:05.754565,BUD,CTA,2026-08-13,,31.03,EUR,ryanair,,31.03
2026-06-22T08:31:05.754742,BUD,SUF,2026-08-16,,33.49,EUR,ryanair,,33.49
2026-06-22T08:31:05.754909,BUD,TIA,2026-08-16,,38.55,EUR,ryanair,,38.55
2026-06-22T08:31:05.755078,BUD,DBV,2026-08-16,,38.83,EUR,ryanair,,38.83
2026-06-22T08:31:05.755297,BUD,NAP,2026-08-17,,38.99,EUR,ryanair,,38.99
2026-06-22T08:31:05.755448,BUD,MLA,2026-08-18,,41.99,EUR,ryanair,,41.99
2026-06-22T08:31:05.755562,BUD,VLC,2026-08-13,,43.59,EUR,ryanair,,43.59
2026-06-22T08:31:05.755683,BUD,SKG,2026-08-16,,43.95,EUR,ryanair,,43.95
2026-06-22T08:31:05.755788,BUD,CFU,2026-08-17,,43.99,EUR,ryanair,,43.99
2026-06-22T08:31:05.755904,BUD,BOJ,2026-08-12,,43.99,EUR,ryanair,,43.99
2026-06-22T08:31:05.756008,BUD,JMK,2026-08-17,,46.99,EUR,ryanair,,46.99
2026-06-22T08:31:05.756143,BUD,RHO,2026-08-13,,50.63,EUR,ryanair,,50.63
2026-06-22T08:31:05.756274,BUD,PVK,2026-08-16,,50.63,EUR,ryanair,,50.63
2026-06-22T08:31:05.756409,BUD,CDT,2026-08-13,,52.84,EUR,ryanair,,52.84
2026-06-22T08:31:05.756514,BUD,CHQ,2026-08-16,,59.49,EUR,ryanair,,59.49
2026-06-22T08:31:05.756651,BUD,AHO,2026-08-13,,59.99,EUR,ryanair,,59.99
2026-06-22T08:31:05.756752,BUD,BCN,2026-08-18,,61.84,EUR,ryanair,,61.84
2026-06-22T08:31:05.756878,BUD,LIS,2026-08-18,,63.17,EUR,ryanair,,63.17
2026-06-22T08:31:05.757033,BUD,PMI,2026-08-12,,64.74,EUR,ryanair,,64.74
2026-06-22T08:31:05.757132,BUD,AGP,2026-08-17,,66.99,EUR,ryanair,,66.99
2026-06-22T08:31:05.757229,BUD,PMO,2026-08-12,,69.69,EUR,ryanair,,69.69
2026-06-22T08:31:05.757356,BUD,ALC,2026-08-17,,75.99,EUR,ryanair,,75.99
2026-06-22T08:31:05.757452,BUD,ZTH,2026-08-13,,84.37,EUR,ryanair,,84.37
2026-06-22T08:31:05.757549,BUD,TFS,2026-08-18,,118.81,EUR,ryanair,,118.81
2026-06-22T08:31:05.757645,BUD,LPA,2026-08-14,,123.87,EUR,ryanair,,123.87
2026-06-22T08:31:05.757740,BUD,OPO,2026-08-17,,135.99,EUR,ryanair,,135.99
2026-06-23T07:00:34.616314,BUD,CAG,2026-08-12,,74.09,EUR,ryanair,,74.09
2026-06-23T07:00:34.680435,BUD,PMI,2026-08-15,,107.33,EUR,ryanair,,107.33
2026-06-23T07:00:34.748355,STN,BGY,2026-08-20,,33.6,EUR,ryanair,,33.6
2026-06-23T07:00:34.816269,BUD,CFU,2026-08-10,,45.99,EUR,ryanair,,45.99
